Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Return on capital employed,Return on equity,Average return on equity 5Years,Average return on equity 3Years,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Debt to equity,Promoter holding,Change in promoter holding 3Years,Change in promoter holding,Pledged percentage,PEG Ratio,Historical PE 5Years,Historical PE 3Years,Price to book value,Historical PBV 3Years,Historical PBV 5Years,Dividend Payout,Dividend Payout Ratio,Average dividend payout 3years,Average 5years dividend,Free cash flow 3years,Free cash flow 5years,Free cash flow preceding year,Free cash flow last year,Industry PE,EPS,Interest Coverage Ratio,Return over 1year,Return over 3years,Return over 5years
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1109.50,37.10,45121.70,1.08,12.13,14.39,18.86,18.25,13.83,13.65,28.48,21.40,22.73,26.80,1.62,6.24,-15.78,-0.01,0.00,1.63,33.22,36.78,4.58,7.58,5.34,40.07,40.07,45.65,852.06,-6045.71,-6528.78,-2457.97,-3016.56,22.30,29.94,2.45,-10.91,32.69,29.77
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,6950.50,96.69,147286.92,0.57,29.93,22.39,21.60,24.70,33.06,27.66,15.51,17.80,29.76,57.13,0.01,75.00,0.00,0.00,0.00,3.25,96.12,83.74,18.80,18.58,16.72,50.01,50.01,50.00,523.52,3266.39,4374.78,1118.10,979.89,37.55,140.50,108.67,18.57,16.55,31.41
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1568.80,84.07,188457.22,0.00,9.65,9.44,10.93,10.47,9.64,9.91,27.56,22.68,21.29,12.86,1.93,72.73,1.08,1.54,0.54,3.95,90.41,67.27,7.41,7.10,9.05,0.00,0.00,0.00,0.00,-3160.67,-4180.14,-333.63,-3435.12,84.07,19.00,1.84,78.84,26.77,11.55
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,3212.10,,417863.70,0.04,5.80,-3.38,3.62,2.41,8.38,8.26,-7.64,20.50,,,1.32,74.67,5.44,0.69,0.80,,112.21,101.44,5.13,7.46,9.57,1.80,1.80,2.83,142.61,-67929.42,-75218.09,-25002.30,-30993.05,80.54,72.31,1.66,27.47,11.36,18.90
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1556.20,140.03,256333.55,0.00,7.39,11.40,14.45,13.07,8.62,8.25,18.47,32.85,17.34,44.08,5.19,62.43,5.17,0.00,0.00,8.08,177.59,122.99,12.84,17.14,27.08,0.00,0.00,0.00,0.00,-40241.00,-48042.00,-16397.00,-15857.00,24.73,10.03,1.35,56.12,17.96,10.04
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1874.20,33.31,431808.01,0.40,14.12,16.38,16.81,17.83,13.88,12.43,22.93,25.28,27.25,21.00,0.66,68.02,6.99,0.00,0.00,1.22,27.38,26.95,4.50,4.84,4.72,13.49,13.49,14.37,1334.48,21930.11,31666.71,9228.08,5074.04,24.13,55.58,4.23,31.58,36.14,21.42
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,221.79,33.48,427715.24,0.00,17.22,21.07,33.42,31.77,24.00,20.79,11.84,15.65,5.87,58.41,0.84,74.96,-0.01,0.00,1.81,5.70,15.77,15.78,6.59,4.85,4.77,0.00,0.00,0.00,0.00,18708.45,30695.55,9957.23,-2817.04,29.84,6.66,5.58,89.63,65.27,59.69
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,721.75,125.31,79378.79,0.03,15.09,14.06,17.99,16.64,17.82,19.67,10.23,28.16,6.16,5.60,0.47,74.80,0.00,0.00,0.00,20.34,149.34,113.92,16.45,19.17,28.96,4.32,4.32,4.26,27.50,619.19,88.63,145.07,247.34,15.71,5.79,7.65,9.34,3.56,-3.77
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,401.25,28.85,109710.03,0.00,8.72,11.74,14.38,12.22,9.30,9.46,14.69,18.77,-7.44,27.55,5.22,68.81,-2.21,0.23,0.00,-3.88,17.99,18.07,3.05,2.22,2.11,0.00,0.00,0.00,0.00,-89786.55,-119301.54,-28382.40,-36905.48,32.21,14.37,1.46,45.88,28.56,28.27
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5562.50,27.30,66508.03,0.81,21.23,18.88,18.23,19.25,20.43,18.67,8.25,10.66,31.50,9.39,0.15,51.20,-5.96,0.00,0.00,0.87,29.06,29.96,4.81,5.47,5.09,27.53,27.53,26.33,530.80,4515.40,6751.23,1278.06,1476.08,35.08,192.51,19.94,13.84,16.56,11.36
