Name,Ticker,Sector,ROCE %,Avg ROCE 5Yr %,Min ROCE 5Yr %,ROE %,Avg ROE 5Yr %,Min ROE 5Yr %,Sales growth 5Yr %,Profit growth 5Yr %,Debt to equity,Promoter holding %,Promoter holding 3Yr ago %,Pledged percentage %,PEG Ratio,PE,Avg PE 5Yr,Price to book,Avg ROCE 3Yr %,Avg ROE 3Yr %,Sales growth 3Yr %,Profit growth 3Yr %,Free cash flow last year,Dividend yield %,Return 1Yr %,Return 3Yr %,Return 5Yr %,Industry PE
Apple Inc.,AAPL,Technology,55.2,50.1,42.0,150.0,120.0,85.0,11.2,15.4,1.45,0.07,0.07,0.0,2.8,30.5,28.0,38.5,,,,,,,,,,
Microsoft Corporation,MSFT,Technology,38.5,35.2,30.0,38.5,36.8,32.0,14.2,18.5,0.22,0.05,0.05,0.0,2.2,34.2,32.0,12.8,,,,,,,,,,
Alphabet Inc.,GOOGL,Technology,28.1,26.5,22.0,26.2,25.0,21.0,16.5,20.2,0.05,0.12,0.13,0.0,1.4,24.5,26.0,6.5,,,,,,,,,,
NVIDIA Corporation,NVDA,Technology,62.0,40.5,22.0,58.0,38.0,18.0,45.0,55.0,0.15,3.8,4.0,0.0,1.1,68.0,50.0,42.0,,,,,,,,,,
JPMorgan Chase & Co.,JPM,BFSI,14.5,13.8,11.2,16.2,15.5,12.5,8.5,11.0,4.5,0.1,0.1,0.0,1.3,11.8,13.5,1.6,,,,,,,,,,
Johnson & Johnson,JNJ,Healthcare,20.2,21.0,18.5,22.5,23.2,19.0,4.8,6.2,0.35,0.02,0.02,0.0,2.5,15.5,17.0,5.2,,,,,,,,,,
"Meta Platforms, Inc.",META,Technology,26.5,27.2,20.0,28.0,28.5,18.5,18.5,22.0,0.08,0.15,0.16,0.0,1.2,22.0,24.0,6.8,,,,,,,,,,
"Amazon.com, Inc.",AMZN,Consumer Cyclical,12.2,13.5,8.0,14.5,15.0,7.5,19.5,25.0,0.42,9.5,10.0,0.0,1.6,38.0,45.0,8.2,,,,,,,,,,
Berkshire Hathaway Inc.,BRK-B,BFSI,8.5,9.2,7.0,9.8,10.5,8.2,7.2,9.5,0.25,0.0,0.0,0.0,1.8,14.2,15.0,1.4,,,,,,,,,,
Costco Wholesale Corp,COST,Consumer Defensive,22.5,21.8,19.5,26.5,25.8,22.0,10.5,12.8,0.28,0.15,0.15,0.0,3.2,45.0,38.0,11.5,,,,,,,,,,
"Delta Air Lines, Inc.",DAL,Industrials,24.99,21.24,,24.99,21.24,,10.32,9.6,1.05,90.4,90.4,0.0,0.21,13.54,13.54,2.97,22.49,22.49,12.9,12.0,3093374976.0,84.0,85.5,105.21,121.67,32.32
"Regeneron Pharmaceuticals, Inc.",REGN,Healthcare,14.55,12.37,,14.55,12.37,,15.2,-5.76,0.09,94.25,94.25,0.0,1.13,15.97,15.97,2.12,13.09,13.09,19.0,-7.2,3273349888.0,57.0,21.59,-5.76,13.3,26.17
"Cencora, Inc.",COR,Healthcare,107.13,91.06,,107.13,91.06,,3.04,102.64,4.21,103.01,103.01,0.0,0.63,22.72,22.72,16.98,96.42,96.42,3.8,128.3,-318246112.0,81.0,-1.98,60.36,176.37,26.17
Coherent Corp.,COHR,Technology,4.72,4.01,,4.72,4.01,,16.4,9.6,0.31,93.86,93.86,0.0,0.92,158.74,158.74,6.11,4.25,4.25,20.5,12.0,-197631744.0,0.0,278.6,601.66,350.0,37.83
Eversource Energy,ES,Utilities,10.91,9.28,,10.91,9.28,,7.52,5.92,1.82,87.13,87.13,0.0,3.15,15.94,15.94,1.69,9.82,9.82,9.4,7.4,587291392.0,423.0,15.61,22.74,12.09,22.42
"DexCom, Inc.",DXCM,Healthcare,35.62,30.28,,35.62,30.28,,12.0,73.76,0.47,102.74,102.74,0.0,1.33,30.58,30.58,9.3,32.06,32.06,15.0,92.2,1056637504.0,0.0,-14.09,-43.64,-35.32,26.17
Constellation Energy Corporation,CEG,Utilities,16.1,13.69,,16.1,13.69,,51.04,872.8,0.66,83.51,83.51,0.0,3.74,20.79,20.79,2.59,14.49,14.49,63.8,1091.0,-4478875136.0,71.0,-24.82,169.66,0.0,22.42
"F5, Inc.",FFIV,Technology,20.34,17.29,,20.34,17.29,,8.8,3.2,0.07,110.63,110.63,0.0,1.76,33.56,33.56,6.35,18.31,18.31,11.0,4.0,759182528.0,0.0,36.38,181.83,115.35,37.83
CME Group Inc.,CME,BFSI,15.92,13.53,,15.92,13.53,,11.52,17.04,0.14,92.92,92.92,0.0,4.15,20.2,20.2,3.22,14.33,14.33,14.4,21.3,3030237440.0,220.0,-16.26,46.91,40.31,17.06
The AES Corporation,AES,Utilities,5.26,4.47,,5.26,4.47,,6.96,760.88,2.6,90.74,90.74,0.0,0.81,7.59,7.59,2.35,4.73,4.73,8.7,951.1,-2964999936.0,483.0,26.56,-16.74,-31.77,22.42
Adobe Inc.,ADBE,Technology,62.95,53.51,,62.95,53.51,,10.16,6.32,0.61,88.33,88.33,0.0,0.6,12.56,12.56,7.61,56.66,56.66,12.7,7.9,9218374656.0,0.0,-41.71,-54.46,-63.19,37.83
"Cadence Design Systems, Inc.",CDNS,Technology,20.66,17.56,,20.66,17.56,,14.96,18.4,0.47,91.38,91.38,0.0,3.54,86.98,86.98,15.69,18.59,18.59,18.7,23.0,1499152256.0,0.0,16.5,62.69,169.08,37.83
"BXP, Inc.",BXP,Real Estate,5.53,4.7,,5.53,4.7,,0.48,52.4,2.12,114.68,114.68,0.0,3.17,34.83,34.83,2.13,4.97,4.97,0.6,65.5,941118656.0,404.0,2.96,45.84,-22.67,33.16
The Cigna Group,CI,Healthcare,16.27,13.83,,16.27,13.83,,3.68,23.28,0.73,94.2,94.2,0.0,0.86,12.19,12.19,1.8,14.64,14.64,4.6,29.1,6923375104.0,217.0,-8.25,10.89,34.13,26.17
Lennar Corporation,LEN,Consumer Cyclical,7.37,6.26,,7.37,6.26,,-4.16,-25.2,0.29,103.88,103.88,0.0,12.01,13.83,13.83,0.98,6.63,6.63,-5.2,-31.5,1077926016.0,227.0,-19.24,-23.97,-1.72,25.44
"T-Mobile US, Inc.",TMUS,Communication Services,18.02,15.32,,18.02,15.32,,8.48,-9.6,2.19,99.07,99.07,0.0,0.7,18.87,18.87,3.45,16.22,16.22,10.6,-12.0,11147374592.0,230.0,-25.3,36.22,26.5,25.32
"Hasbro, Inc.",HAS,Consumer Cyclical,17.9,15.22,,-23.32,-19.82,,10.16,78.88,5.74,97.71,97.71,0.0,1.77,12.53,12.53,17.5,16.11,-20.98,12.7,98.6,547924992.0,349.0,4.7,42.81,1.61,25.44
Fortive Corporation,FTV,Technology,6.81,5.79,,6.81,5.79,,6.16,-9.92,0.59,112.16,112.16,0.0,0.98,36.85,36.85,3.15,6.13,6.13,7.7,-12.4,953612480.0,38.0,18.21,15.51,21.76,37.83
